Professor_ID,Avg_Rating,Total_Ratings,Professor_Name,Department,Would_Take_Again,Avg_Difficulty
2073648,3.2,96,Mark Okuhata,History,49%,3.5
2676805,4.5,74,Melody Adejare,Communication,88%,3.3
54640,4.7,68,Jill Nemiro,Psychology,90%,2.5
2147335,3,35,Robert Blumenfeld,Psychology,43%,3.3
1087541,3.8,26,Juliana Fuqua,Psychology,75%,2.8
2652433,5,19,Sarah Huff,Music,100%,1.5
2630928,4.8,5,Tatiana Pumaccahua,Psychology,100%,1.4
2002633,4.9,44,Steven Camacho,English,100%,2.6
2171196,3.3,27,Suresh Ganapathy,Engineering,89%,2.8
3073381,2.3,4,Kora Tsay,Mathematics,25%,4
1828030,2.7,35,Alejandra Parise,Apparel Merchandising,36%,3.3
2203586,4.6,31,Patrick Mannion,Engineering,97%,2.4
533961,2.9,28,"Leonard K Vandegrift Iv,",English,32%,3.6
2331136,4.8,25,William Molina,English,96%,3.1
2148698,4.8,16,Izabela Grey,Psychology,100%,3.3
1826456,3.3,15,Stacy Brown,Mathematics,54%,3.4
1991189,4.2,7,Jamie Snyder,Biology,84%,3.6
339160,4.9,28,Natalia Lyon,Languages,100%,1.5
2974906,4.9,14,Shant Aramian,Mathematics,93%,2.4
2202880,4.7,10,Briana Foster-Greenwood,Mathematics,100%,3.1
3074323,2.5,2,Haley Mai,Science,50%,3
2123413,4.5,68,Demetris Trokkos,Political Science,87%,2.1
2529253,5,38,Andrea Watson,Agriculture,100%,1.8
1709911,2.4,36,Naveen Hyder,Agriculture,23%,3.6
2830989,2.8,28,Valerio Formicola,Electrical Engineering & Computer Science,54%,3.5
1549709,3.6,22,Xin Liu,International Bus. & Marketing,72%,2.7
1267139,4.8,10,Holly Greene,Animal Science,100%,1.3
2518193,4.3,10,Eeman At-Taras,Agriculture,90%,3.3
3082816,5,1,Guadalupe Maldonado Andrade,Agriculture,100%,2
2153830,4.5,619,Todd Coburn,Engineering,93%,4.1
1990901,4.8,19,Eddie Jo,Medicine,94%,2.7
2119523,2.8,16,Tobi West,Business,40%,2.8
2413755,4.4,58,Ali Oudich,Mathematics,82%,3.3
1330528,3.7,28,Nicholas Von Glahn,Psychology,66%,3.4
2330663,3,15,Neal Golub,Mathematics,54%,3.5
411553,1.2,61,Barbara Gill-Mayberry,English,3%,4.4
1157149,3.1,49,Thomas Keith,Philosophy,50%,3.8
2839268,3.7,6,Hyungjin Gill,Communication,67%,3.3
2897668,4.4,9,Cindy Cordoba,Apparel Merchandising,89%,1.4
894416,3.6,8,Nina Abramzon,Physics,100%,3.1
2402046,4.5,2,Juan Canedo,Business,100%,2.5
2494338,2.5,51,Andrew Carmichael,Physics,48%,3.5
2449537,2.8,39,Stacey Gutierrez,Management,44%,3.5
2563750,3.1,34,Si Yang,Mathematics,56%,3.1
2940338,1.5,19,Howard Jian,Literature,22%,3.8
2794767,4.9,12,Gerson Ramos-Giron,Electrical Engineering & Computer Science,100%,2.3
1277216,2.3,49,Nancy Fan,Accounting,42%,3.7
565299,2.4,39,Ioana Mihaila,Mathematics,20%,4.4
2314738,2.5,34,Massimiliano Repupilli,Engineering,39%,4
1698667,1.9,45,Billy/ Hoa Lam,Mathematics,14%,4.2
2637158,3,10,Leonardo Yuan,Engineering,50%,2.2
3017327,1.5,2,Ana Santos,Engineering,0%,2.5
